Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
ABR/bridges,3746.4,3820.3,1.9725603245782641
ABR/cars,1499.0,1490.0,-0.600400266844563
ABR/cetacea,967.0,967.0,0.0
ABR/companies,81802.0,81802.0,0.0
ABR/hayes-roth,2619.3,2793.9,6.665903103882713
ABR/lecturers,13515.95,14180.2,4.9145639041280855
ABR/lung-cancer,3472.0,3470.0,-0.0576036866359447
ABR/lymphography,18931.0,18892.0,-0.20601130421002586
ABR/micro,795.0,940.0,18.238993710691823
ABR/primary-tumor,323614.0,323614.0,0.0
ABR/soup,4610.35,4590.5,-0.43055299489193577
ABR/soybean-21,3041.0,3041.0,0.0
ABR/soybean-35,14613.0,14613.0,0.0
ABR/soybean-large,315802.0,315974.0,0.05446450624125243
ABR/sponge,20401.0,20389.0,-0.05882064604676242
ABR/ta-evaluation,1085.7,1092.0,0.5802707930367462
ABR/uno_1a,12197.0,12197.0,0.0
ABR/uno_1b,11775.0,11775.0,0.0
ABR/uno_2a,72820.0,72820.0,0.0
ABR/uno_2b,71818.0,71818.0,0.0
ABR/uno_3a,73068.0,73068.0,0.0
ABR/uno_3b,72629.0,72629.0,0.0
ABR/uno,793.25,798.0,0.5988023952095809
ABR/wildcats,1296.0,1296.0,0.0
ABR/workers,955.0,955.0,0.0
ABR/zoo,15432.3,15422.0,-0.0667431296695844
Artificial/am-100-10,1100.0,10700.0,872.7272727272726
Artificial/am-100-20,2100.0,11700.0,457.1428571428571
Artificial/am-100-3,400.0,10000.0,2400.0
Artificial/am-125-10,1375.0,16500.0,1100.0
Artificial/am-125-20,2625.0,17750.0,576.1904761904761
Artificial/am-125-3,500.0,15625.0,3025.0
Artificial/am-150-10,1650.0,23550.0,1327.2727272727273
Artificial/am-150-20,3150.0,25050.0,695.2380952380953
Artificial/am-150-3,600.0,22500.0,3650.0
Artificial/am-25-10,275.0,800.0,190.9090909090909
Artificial/am-25-20,525.0,1050.0,100.0
Artificial/am-25-3,100.0,625.0,525.0
Artificial/am-50-10,550.0,2850.0,418.1818181818182
Artificial/am-50-20,1050.0,3350.0,219.04761904761907
Artificial/am-50-3,200.0,2500.0,1150.0
Artificial/am-75-10,825.0,6150.0,645.4545454545454
Artificial/am-75-20,1575.0,6900.0,338.0952380952381
Artificial/am-75-3,300.0,5625.0,1775.0
ClusEdit/ce50-20,42.9,49.75,15.967365967365971
ClusEdit/ce50-30,62.15,73.8,18.744971842316975
ClusEdit/ce50-40,81.9,88.85,8.485958485958472
ClusEdit/ce50-50,140.95,147.55,4.682511528910978
ClusEdit/ce50-60,253.25,254.75,0.5923000987166831
ClusEdit/ce60-20,53.4,64.45,20.692883895131096
ClusEdit/ce60-30,78.0,85.6,9.743589743589737
ClusEdit/ce60-40,113.6,137.1,20.68661971830986
ClusEdit/ce60-50,163.7,174.8,6.780696395846074
ClusEdit/ce60-60,367.25,367.6,0.09530292716134042
ClusEdit/ce70-20,68.85,78.1,13.435003631082063
ClusEdit/ce70-30,98.9,110.9,12.133468149646106
ClusEdit/ce70-40,133.95,158.5,18.327734229190007
ClusEdit/ce70-50,218.65,244.9,12.005488223187742
ClusEdit/ce70-60,489.85,490.7,0.1735225068898573
ClusEdit/ce80-20,80.5,88.05,9.378881987577635
ClusEdit/ce80-30,112.75,129.7,15.033259423503315
ClusEdit/ce80-40,169.35,185.3,9.418364334219083
ClusEdit/ce80-50,264.35,309.05,16.909400416114995
ClusEdit/ce80-60,655.75,654.0,-0.2668699961875715
Correlation/corr40-10,2115.85,2269.0,7.238225772148314
Correlation/corr40-1,2119.0,2136.0,0.8022652194431336
Correlation/corr40-2,1651.15,1571.0,-4.854192532477369
Correlation/corr40-3,2247.0,2202.0,-2.0026702269692924
Correlation/corr40-4,1985.0,2023.0,1.9143576826196476
Correlation/corr40-5,2130.6,2116.0,-0.6852529803811092
Correlation/corr40-6,2401.5,2457.0,2.31105559025609
Correlation/corr40-7,2071.95,2235.2,7.879051135403847
Correlation/corr40-8,2166.0,1848.0,-14.681440443213297
Correlation/corr40-9,2082.9,2129.0,2.213260358154492
Correlation/corr60-10,3196.15,3250.0,1.6848395726107943
Correlation/corr60-1,3603.55,3559.05,-1.2348933690388644
Correlation/corr60-2,3106.8,3227.0,3.868932663834164
Correlation/corr60-3,3415.0,3331.25,-2.452415812591508
Correlation/corr60-4,2913.1,3214.0,10.329202567711377
Correlation/corr60-5,3277.0,2698.0,-17.66859932865426
Correlation/corr60-6,2844.4,2875.0,1.075798059344674
Correlation/corr60-7,3030.5,3220.0,6.25309354891932
Correlation/corr60-8,3018.1,3344.0,10.798184288128295
Correlation/corr60-9,3185.0,3171.0,-0.43956043956043955
Correlation/corr80-10,4312.6,4455.0,3.301952418494635
Correlation/corr80-1,3997.8,4044.0,1.1556355995797642
Correlation/corr80-2,4335.3,4430.6,2.1982331095887293
Correlation/corr80-3,4523.95,4724.0,4.422020579360961
Correlation/corr80-4,3842.5,4264.0,10.969420949902407
Correlation/corr80-5,4311.0,4514.7,4.72512178148921
Correlation/corr80-6,4064.0,4068.6,0.11318897637795051
Correlation/corr80-7,4082.55,4275.6,4.728662233163101
