Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
knott-3d-150/gm_knott_3d_032,5984.0,5992.0,0.1336898395721925
knott-3d-150/gm_knott_3d_033,16829.0,16828.0,-0.005942123715015747
knott-3d-150/gm_knott_3d_034,15915.0,15915.0,0.0
knott-3d-150/gm_knott_3d_035,12694.0,12694.0,0.0
knott-3d-150/gm_knott_3d_036,4091.0,4123.0,0.7822048398924468
knott-3d-150/gm_knott_3d_037,5775.0,5780.0,0.08658008658008658
knott-3d-150/gm_knott_3d_038,10841.0,10840.0,-0.009224241306152568
knott-3d-150/gm_knott_3d_039,4630.0,4631.0,0.02159827213822894
knott-3d-300/gm_knott_3d_072,43619.0,43545.0,-0.16965084023017493
knott-3d-300/gm_knott_3d_073,65928.0,65954.0,0.039436961533794446
knott-3d-300/gm_knott_3d_074,85804.0,85834.0,0.034963404969465296
knott-3d-300/gm_knott_3d_075,74915.0,74931.0,0.02135753854368284
knott-3d-300/gm_knott_3d_076,58145.0,58246.0,0.17370367185484564
knott-3d-300/gm_knott_3d_077,63530.0,63520.0,-0.015740594994490792
knott-3d-300/gm_knott_3d_078,107131.0,107117.0,-0.013068112871157743
knott-3d-300/gm_knott_3d_079,42062.8,42114.0,0.12172275740083183
knott-3d-450/gm_knott_3d_096,228508.0,228562.0,0.023631557757277644
knott-3d-450/gm_knott_3d_097,292614.0,292172.0,-0.15105223946906163
knott-3d-450/gm_knott_3d_098,227993.0,227935.0,-0.025439377524748567
knott-3d-450/gm_knott_3d_099,284228.0,284242.0,0.004925623091321052
knott-3d-450/gm_knott_3d_100,229066.5,229280.0,0.09320437514870136
knott-3d-450/gm_knott_3d_101,280629.0,280409.0,-0.07839531908676581
knott-3d-450/gm_knott_3d_102,294463.0,294480.0,0.005773221083803398
knott-3d-450/gm_knott_3d_103,283041.1,283096.0,0.019396476342136634
