Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
CREMI/medium_problem_sampleA,4081585.0,4081542.0,-0.0010535122997560997
CREMI/medium_problem_sampleB,2028922.0,2029295.0,0.018384146852367906
CREMI/medium_problem_sampleC,387361.0,387388.0,0.006970242228825307
CREMI/small_problem_sampleA,619924.0,619924.0,0.0
CREMI/small_problem_sampleB,470659.0,470587.0,-0.015297699608421384
CREMI/small_problem_sampleC,113243.0,113246.0,0.0026491703681463755
image_seg/101085,6931.8,6942.0,0.1471479269453795
image_seg/101087,3148.0,3145.0,-0.09529860228716645
image_seg/102061,2532.0,2533.0,0.03949447077409163
image_seg/103070,5013.0,5021.0,0.15958507879513265
image_seg/105025,6823.65,6802.4,-0.3114169103046024
image_seg/106024,2399.0,2397.0,-0.08336807002917883
image_seg/108005,6284.0,6291.0,0.11139401654996818
image_seg/108070,9471.9,9473.0,0.01161329828229145
image_seg/108082,4972.0,4975.0,0.06033789219629927
image_seg/109053,4507.5,4514.0,0.14420410427066002
image_seg/119082,3272.5,3279.0,0.19862490450725745
image_seg/12084,5225.0,5230.0,0.09569377990430622
image_seg/123074,6140.0,6127.0,-0.21172638436482086
image_seg/126007,2400.0,2391.0,-0.375
image_seg/130026,7342.8,7360.0,0.23424306803943754
image_seg/134035,6219.0,6216.0,-0.0482392667631452
image_seg/14037,2048.0,2041.0,-0.341796875
image_seg/143090,1889.0,1885.0,-0.21175224986765487
image_seg/145086,4830.0,4830.0,0.0
image_seg/147091,3676.0,3685.0,0.24483133841131663
image_seg/148026,6262.75,6269.0,0.09979641531276195
image_seg/148089,6508.0,6509.0,0.015365703749231713
image_seg/156065,7467.4,7467.0,-0.005356616760848973
image_seg/157055,3995.3,3997.0,0.04254999624558401
image_seg/159008,4508.4,4517.0,0.19075503504570057
image_seg/160068,3417.0,3426.0,0.2633889376646181
image_seg/16077,4276.0,4274.0,-0.04677268475210477
image_seg/163085,4034.0,4040.0,0.1487357461576599
image_seg/167062,1895.0,1899.0,0.21108179419525064
image_seg/167083,9980.0,9980.0,0.0
image_seg/170057,5065.0,5065.0,0.0
image_seg/175032,10974.15,10980.0,0.05330708984295243
image_seg/175043,7406.55,7406.55,0.0
image_seg/182053,4246.0,4243.0,-0.0706547338671691
image_seg/189080,1521.5,1524.0,0.1643115346697338
image_seg/19021,5027.65,5027.0,-0.01292850536532249
