Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
ABR/bridges,3770.2,3853.6,2.2120842395628904
ABR/cars,1499.0,1499.0,0.0
ABR/cetacea,967.0,967.0,0.0
ABR/companies,81802.0,81802.0,0.0
ABR/hayes-roth,2685.65,2777.0,3.4014112039915814
ABR/lecturers,13639.35,13714.75,0.5528122674467598
ABR/lung-cancer,3472.0,3470.0,-0.0576036866359447
ABR/lymphography,18965.2,19170.0,1.0798726087781794
ABR/micro,787.1,966.0,22.729005208995044
ABR/primary-tumor,323614.0,323614.0,0.0
ABR/soup,4610.5,4617.0,0.14098253985467954
ABR/soybean-21,3041.0,3041.0,0.0
ABR/soybean-35,14613.0,14613.0,0.0
ABR/soybean-large,315802.0,316469.0,0.21120828873788006
ABR/sponge,20401.0,25677.0,25.861477378559876
ABR/ta-evaluation,1084.2,1102.0,1.641763512267105
ABR/uno_1a,12197.0,12197.0,0.0
ABR/uno_1b,11775.0,11775.0,0.0
ABR/uno_2a,72813.5,72820.0,0.008926916025187637
ABR/uno_2b,71818.0,71818.0,0.0
ABR/uno_3a,73068.0,73068.0,0.0
ABR/uno_3b,72629.0,72629.0,0.0
ABR/uno,781.05,798.0,2.170155559823321
ABR/wildcats,1296.0,1304.0,0.6172839506172839
ABR/workers,955.0,964.0,0.9424083769633508
ABR/zoo,15432.4,16836.8,9.100334361473262
Artificial/am-100-10,1100.0,10700.0,872.7272727272726
Artificial/am-100-20,2100.0,11700.0,457.1428571428571
Artificial/am-100-3,400.0,10000.0,2400.0
Artificial/am-125-10,1375.0,16500.0,1100.0
Artificial/am-125-20,2625.0,17750.0,576.1904761904761
Artificial/am-125-3,500.0,15625.0,3025.0
Artificial/am-150-10,1650.0,23550.0,1327.2727272727273
Artificial/am-150-20,3150.0,25050.0,695.2380952380953
Artificial/am-150-3,600.0,22500.0,3650.0
Artificial/am-25-10,275.0,800.0,190.9090909090909
Artificial/am-25-20,525.0,1050.0,100.0
Artificial/am-25-3,100.0,625.0,525.0
Artificial/am-50-10,550.0,2850.0,418.1818181818182
Artificial/am-50-20,1050.0,3350.0,219.04761904761907
Artificial/am-50-3,200.0,2500.0,1150.0
Artificial/am-75-10,825.0,6150.0,645.4545454545454
Artificial/am-75-20,1575.0,6900.0,338.0952380952381
Artificial/am-75-3,300.0,5625.0,1775.0
ClusEdit/ce50-20,43.2,51.2,18.51851851851852
ClusEdit/ce50-30,60.6,69.45,14.603960396039605
ClusEdit/ce50-40,84.6,95.6,13.002364066193856
ClusEdit/ce50-50,137.9,122.4,-11.240029006526468
ClusEdit/ce50-60,251.75,254.0,0.893743793445879
ClusEdit/ce60-20,54.85,67.7,23.42752962625342
ClusEdit/ce60-30,77.6,87.0,12.113402061855679
ClusEdit/ce60-40,114.65,127.45,11.164413432184908
ClusEdit/ce60-50,160.7,169.0,5.164903546981962
ClusEdit/ce60-60,368.75,369.0,0.06779661016949153
ClusEdit/ce70-20,69.55,79.6,14.450035945363043
ClusEdit/ce70-30,97.0,102.0,5.154639175257731
ClusEdit/ce70-40,136.15,151.3,11.127432978332726
ClusEdit/ce70-50,217.05,228.9,5.459571527297855
ClusEdit/ce70-60,490.3,490.65,0.07138486640831448
ClusEdit/ce80-20,80.25,90.6,12.897196261682236
ClusEdit/ce80-30,115.3,120.6,4.596704249783172
ClusEdit/ce80-40,167.85,186.25,10.962168602919277
ClusEdit/ce80-50,266.6,265.35,-0.46886721680420107
ClusEdit/ce80-60,657.0,657.0,0.0
Correlation/corr40-10,2116.9,2261.0,6.80712362416741
Correlation/corr40-1,2119.0,2101.0,-0.8494572911750826
Correlation/corr40-2,1653.4,1796.0,8.624652231764843
Correlation/corr40-3,2247.0,2295.0,2.1361815754339117
Correlation/corr40-4,1985.0,1981.0,-0.20151133501259444
Correlation/corr40-5,2129.0,2207.0,3.663691874119305
Correlation/corr40-6,2416.9,2457.0,1.6591501510198978
Correlation/corr40-7,2075.05,2269.0,9.34676272860894
Correlation/corr40-8,2166.0,2167.0,0.04616805170821791
Correlation/corr40-9,2081.4,2100.0,0.8936292879792405
Correlation/corr60-10,3185.75,3394.0,6.536922231813545
Correlation/corr60-1,3598.05,3587.0,-0.30711079612568426
Correlation/corr60-2,3122.9,3234.0,3.557590700951036
Correlation/corr60-3,3415.0,3464.0,1.4348462664714494
Correlation/corr60-4,2964.05,3379.0,13.999426460417327
Correlation/corr60-5,3277.0,3277.0,0.0
Correlation/corr60-6,2852.0,3086.0,8.20476858345021
Correlation/corr60-7,2991.35,3125.0,4.467882394236719
Correlation/corr60-8,2967.1,3405.0,14.758518418657951
Correlation/corr60-9,3185.0,3080.4,-3.2841444270015665
Correlation/corr80-10,4355.4,4566.0,4.835376773660292
Correlation/corr80-1,4004.05,4391.0,9.663965235199354
