Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
CREMI/medium_problem_sampleA,4081585.0,4080262.0,-0.032413878432030696
CREMI/medium_problem_sampleB,2028922.0,2016806.45,-0.5971422262659701
CREMI/medium_problem_sampleC,387361.0,386987.9,-0.09631842131757629
CREMI/small_problem_sampleA,619924.0,619728.0,-0.03161677883095347
CREMI/small_problem_sampleB,470659.0,467780.0,-0.6116955162867383
CREMI/small_problem_sampleC,113243.0,113162.0,-0.07152759993995214
image_seg/101085,6931.6,6927.5,-0.05914940273530445
image_seg/101087,3148.0,3140.0,-0.25412960609911056
image_seg/102061,2532.0,2526.0,-0.23696682464454977
image_seg/103070,5013.0,4996.0,-0.33911829243965685
image_seg/105025,6823.6,6803.25,-0.29822967348614166
image_seg/106024,2399.0,2395.0,-0.16673614005835766
image_seg/108005,6284.0,6262.5,-0.34213876511775937
image_seg/108070,9471.85,9414.3,-0.6075898583698125
image_seg/108082,4972.0,4952.45,-0.3932019308125539
image_seg/109053,4508.2,4476.0,-0.714254025997068
image_seg/119082,3272.5,3254.0,-0.5653170359052712
image_seg/12084,5225.0,5209.0,-0.3062200956937799
image_seg/123074,6140.0,6112.65,-0.4454397394136867
image_seg/126007,2400.0,2390.0,-0.4166666666666667
image_seg/130026,7342.2,7313.05,-0.39701996676744894
image_seg/134035,6219.0,6174.2,-0.7203730503296378
image_seg/14037,2048.0,2047.65,-0.01708984374999556
image_seg/143090,1889.0,1880.8,-0.4340921122286948
image_seg/145086,4830.0,4829.0,-0.020703933747412008
image_seg/147091,3676.0,3673.5,-0.06800870511425462
image_seg/148026,6262.8,6245.45,-0.277032637159104
image_seg/148089,6508.0,6468.55,-0.6061770129071884
image_seg/156065,7467.35,7449.4,-0.24037978667131882
image_seg/157055,3995.4,3986.7,-0.21775041297492798
image_seg/159008,4508.4,4498.0,-0.23068050749710844
image_seg/160068,3417.0,3417.0,0.0
image_seg/16077,4276.0,4270.5,-0.12862488306828812
image_seg/163085,4034.0,4010.45,-0.5837878036688197
image_seg/167062,1895.0,1898.0,0.15831134564643798
image_seg/167083,9980.0,9954.6,-0.2545090180360685
image_seg/170057,5065.0,5028.3,-0.7245804540967388
image_seg/175032,10974.15,10931.4,-0.389551810390782
image_seg/175043,7407.6,7362.1,-0.6142340299152221
image_seg/182053,4246.0,4228.0,-0.4239284032030146
image_seg/189080,1521.65,1513.5,-0.5356027995925535
image_seg/19021,5027.5,5022.0,-0.1093983092988563
image_seg/196073,686.0,681.0,-0.7288629737609329
image_seg/197017,4647.7,4645.0,-0.05809325042493746
image_seg/208001,7245.75,7217.35,-0.39195390401269203
image_seg/210088,1886.6,1874.8,-0.625463797307323
image_seg/21077,2888.0,2878.4,-0.33240997229916586
image_seg/216081,5045.0,5036.3,-0.17244796828542752
image_seg/219090,2908.0,2902.0,-0.20632737276478677
image_seg/220075,2758.0,2752.0,-0.21754894851341552
image_seg/223061,7263.0,7242.05,-0.28844829960071344
image_seg/227092,2276.0,2260.0,-0.7029876977152899
image_seg/229036,6572.0,6562.0,-0.15216068167985392
image_seg/236037,7922.0,7877.2,-0.5655137591517316
image_seg/24077,3195.0,3180.0,-0.4694835680751174
image_seg/241004,1628.0,1621.4,-0.40540540540539977
image_seg/241048,6012.0,6004.0,-0.1330671989354624
image_seg/253027,5227.0,5228.0,0.01913143294432753
image_seg/253055,1804.0,1799.0,-0.2771618625277162
image_seg/260058,2011.0,2011.0,0.0
image_seg/271035,3768.0,3755.0,-0.3450106157112527
image_seg/285079,6763.0,6739.0,-0.3548720981812805
image_seg/291000,12682.0,12672.0,-0.07885191610156127
image_seg/295087,5131.0,5121.0,-0.19489378288832587
image_seg/296007,3385.45,3383.7,-0.05169179872690485
image_seg/296059,3145.8,3141.0,-0.1525843982452852
image_seg/299086,1496.0,1495.0,-0.06684491978609625
image_seg/300091,1893.0,1875.45,-0.9270998415213921
image_seg/302008,2301.0,2295.6,-0.23468057366362846
image_seg/304034,8588.25,8551.2,-0.4314033708846305
image_seg/304074,6622.0,6624.6,0.039263062518881967
image_seg/306005,5067.0,5051.35,-0.3088612591276818
image_seg/3096,335.0,335.0,0.0
image_seg/33039,7832.2,7797.1,-0.4481499450984328
image_seg/351093,6613.0,6591.8,-0.32058067442915195
image_seg/361010,3354.6,3350.0,-0.1371251415966109
image_seg/37073,1876.0,1877.0,0.053304904051172705
image_seg/376043,9405.0,9387.35,-0.18766613503455223
image_seg/38082,8903.15,8854.95,-0.5413814211823783
image_seg/38092,5985.4,5981.0,-0.0735122130517532
image_seg/385039,4195.0,4192.0,-0.07151370679380215
image_seg/41033,3336.0,3328.6,-0.2218225419664296
image_seg/41069,13157.0,13169.0,0.09120620202173749
image_seg/42012,4614.4,4593.0,-0.4637656033287023
image_seg/42049,825.0,818.0,-0.8484848484848486
image_seg/43074,4586.0,4589.0,0.06541648495420846
image_seg/45096,877.0,876.0,-0.11402508551881414
image_seg/54082,4629.0,4617.6,-0.24627349319506667
