Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
CREMI/medium_problem_sampleA,4081585.0,4074973.0,-0.16199589130203093
CREMI/medium_problem_sampleB,2028922.0,1992405.85,-1.7997808688554762
CREMI/medium_problem_sampleC,387361.0,385347.5,-0.5197993602866576
CREMI/small_problem_sampleA,619924.0,618916.0,-0.1626005768449036
CREMI/small_problem_sampleB,470659.0,461932.95,-1.8540068287231284
CREMI/small_problem_sampleC,113243.0,112736.0,-0.44770979221673746
image_seg/101085,6931.7,6899.35,-0.46669648138262554
image_seg/101087,3148.0,3113.0,-1.1118170266836087
image_seg/102061,2532.0,2491.4,-1.6034755134281165
image_seg/103070,5013.0,4904.95,-2.1553959704767642
image_seg/105025,6823.65,6742.05,-1.1958409355696653
image_seg/106024,2399.0,2351.2,-1.9924968736973816
image_seg/108005,6284.0,6181.85,-1.6255569700827441
image_seg/108070,9472.0,9348.45,-1.3043707770270192
image_seg/108082,4972.0,4871.8,-2.0152855993563925
image_seg/109053,4508.4,4384.35,-2.751530476443955
image_seg/119082,3272.6,3231.9,-1.2436594756462698
image_seg/12084,5225.0,5132.05,-1.778947368421049
image_seg/123074,6140.0,6062.55,-1.261400651465795
image_seg/126007,2400.0,2376.85,-0.9645833333333371
image_seg/130026,7343.2,7251.7,-1.2460507680575226
image_seg/134035,6219.0,6114.3,-1.6835504100337646
image_seg/14037,2048.0,2016.45,-1.5405273437499978
image_seg/143090,1889.0,1852.55,-1.9295923769190073
image_seg/145086,4830.0,4823.0,-0.14492753623188406
image_seg/147091,3676.0,3621.65,-1.478509249183893
image_seg/148026,6262.8,6173.8,-1.4210896084818292
image_seg/148089,6508.0,6404.35,-1.592655193607862
image_seg/156065,7467.25,7381.65,-1.1463390136931315
image_seg/157055,3995.35,3970.4,-0.6244759532957017
image_seg/159008,4508.45,4445.45,-1.3973760383280287
image_seg/160068,3417.0,3376.15,-1.1954931226221805
image_seg/16077,4276.0,4223.8,-1.2207670720299304
image_seg/163085,4034.0,3938.75,-2.361179970252851
image_seg/167062,1895.0,1896.0,0.05277044854881266
image_seg/167083,9980.0,9909.45,-0.7069138276553033
image_seg/170057,5065.0,5008.15,-1.1224086870681218
image_seg/175032,10974.15,10770.95,-1.85162404377559
image_seg/175043,7406.05,7269.65,-1.8417374983965884
image_seg/182053,4246.0,4159.5,-2.0372114931700427
