Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
knott-3d-150/gm_knott_3d_032,5984.0,5989.0,0.08355614973262032
knott-3d-150/gm_knott_3d_033,16829.0,16518.4,-1.8456236258838823
knott-3d-150/gm_knott_3d_034,15915.0,15788.5,-0.7948476280238769
knott-3d-150/gm_knott_3d_035,12694.0,12690.0,-0.03151095005514416
knott-3d-150/gm_knott_3d_036,4091.0,4082.55,-0.20655096553409477
knott-3d-150/gm_knott_3d_037,5775.0,5732.5,-0.735930735930736
knott-3d-150/gm_knott_3d_038,10841.0,10812.0,-0.26750299787842446
knott-3d-150/gm_knott_3d_039,4630.0,4568.85,-1.320734341252692
knott-3d-300/gm_knott_3d_072,43619.0,43491.65,-0.2919599257204396
knott-3d-300/gm_knott_3d_073,65928.0,65241.9,-1.0406807426283198
knott-3d-300/gm_knott_3d_074,85804.0,85411.0,-0.4580206050999953
knott-3d-300/gm_knott_3d_075,74915.0,74695.6,-0.29286524728024316
knott-3d-300/gm_knott_3d_076,58145.0,57773.55,-0.6388339496087317
knott-3d-300/gm_knott_3d_077,63530.0,62853.25,-1.0652447662521645
knott-3d-300/gm_knott_3d_078,107131.0,106928.9,-0.188647543661504
knott-3d-300/gm_knott_3d_079,42062.5,41786.65,-0.6558098068350634
knott-3d-450/gm_knott_3d_096,228508.0,227500.55,-0.44088171967721557
knott-3d-450/gm_knott_3d_097,292614.0,290963.05,-0.5642074541887988
knott-3d-450/gm_knott_3d_098,227993.0,226549.75,-0.6330238209067822
knott-3d-450/gm_knott_3d_099,284228.0,283200.7,-0.3614351858367186
knott-3d-450/gm_knott_3d_100,229066.6,227534.45,-0.6688666090997091
knott-3d-450/gm_knott_3d_101,280629.0,279463.3,-0.41538828845201725
knott-3d-450/gm_knott_3d_102,294463.0,293306.65,-0.3926978941327015
knott-3d-450/gm_knott_3d_103,283041.1,282209.25,-0.2938972467249374
