Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
CREMI/medium_problem_sampleA,4081585.0,4081248.0,-0.00825659639576292
CREMI/medium_problem_sampleB,2028922.0,2028893.0,-0.0014293304523288722
CREMI/medium_problem_sampleC,387361.0,387343.0,-0.0046468281525502055
CREMI/small_problem_sampleA,619924.0,619763.0,-0.025970925468283206
CREMI/small_problem_sampleB,470659.0,470451.0,-0.044193354424328445
CREMI/small_problem_sampleC,113243.0,113228.0,-0.013245851840731876
image_seg/101085,6931.7,6937.0,0.0764603199792285
image_seg/101087,3148.0,3143.0,-0.1588310038119441
image_seg/102061,2532.0,2530.0,-0.07898894154818326
image_seg/103070,5013.0,5013.0,0.0
image_seg/105025,6823.6,6798.0,-0.37516853273932177
image_seg/106024,2399.0,2398.0,-0.041684035014589414
image_seg/108005,6284.0,6274.0,-0.15913430935709738
image_seg/108070,9471.95,9469.0,-0.031144590079136055
image_seg/108082,4972.0,4968.0,-0.08045052292839903
image_seg/109053,4508.3,4507.0,-0.028835703036625377
image_seg/119082,3272.7,3284.0,0.34528065511657596
image_seg/12084,5225.0,5224.0,-0.019138755980861243
image_seg/123074,6140.0,6128.0,-0.19543973941368079
image_seg/126007,2400.0,2389.0,-0.4583333333333333
image_seg/130026,7343.0,7330.0,-0.1770393572109492
image_seg/134035,6219.0,6218.0,-0.016079755587715065
image_seg/14037,2048.0,2045.0,-0.146484375
image_seg/143090,1889.0,1885.0,-0.21175224986765487
image_seg/145086,4830.0,4831.0,0.020703933747412008
image_seg/147091,3676.0,3682.0,0.1632208922742111
image_seg/148026,6262.9,6262.0,-0.014370339619020522
image_seg/148089,6508.0,6506.0,-0.030731407498463426
image_seg/156065,7467.3,7442.0,-0.33881054731964944
image_seg/157055,3995.7,3995.5,-0.005005380784338617
image_seg/159008,4508.55,4503.0,-0.12309944438899827
image_seg/160068,3417.0,3411.0,-0.17559262510974538
image_seg/16077,4276.0,4270.0,-0.1403180542563143
image_seg/163085,4034.0,4026.0,-0.19831432821021316
image_seg/167062,1895.0,1898.0,0.15831134564643798
image_seg/167083,9980.0,9975.0,-0.0501002004008016
image_seg/170057,5065.0,5060.0,-0.09871668311944717
image_seg/175032,10974.15,10961.0,-0.11982704810850624
image_seg/175043,7407.9,7404.0,-0.05264649900781107
image_seg/182053,4246.0,4241.0,-0.11775788977861518
image_seg/189080,1521.55,1513.0,-0.561926982353518
image_seg/19021,5027.55,5024.0,-0.07061093375501351
image_seg/196073,686.0,686.0,0.0
image_seg/197017,4647.6,4649.0,0.030123074274886738
image_seg/208001,7246.0,7235.0,-0.15180789401048855
image_seg/210088,1887.1,1873.0,-0.7471782099517731
image_seg/21077,2888.0,2886.0,-0.06925207756232687
image_seg/216081,5045.0,5041.0,-0.07928642220019821
image_seg/219090,2908.0,2905.0,-0.10316368638239339
image_seg/220075,2758.0,2752.0,-0.21754894851341552
image_seg/223061,7263.0,7267.0,0.055073661021616406
image_seg/227092,2276.0,2273.0,-0.13181019332161686
image_seg/229036,6572.0,6565.0,-0.10651247717589775
image_seg/236037,7922.0,7907.0,-0.1893461247159808
image_seg/24077,3195.0,3202.0,0.2190923317683881
image_seg/241004,1628.0,1628.0,0.0
image_seg/241048,6012.0,6009.0,-0.049900199600798396
image_seg/253027,5227.0,5226.6,-0.007652573177724052
image_seg/253055,1804.0,1804.0,0.0
image_seg/260058,2011.0,2011.0,0.0
image_seg/271035,3768.0,3755.0,-0.3450106157112527
image_seg/285079,6763.0,6765.0,0.02957267484844004
image_seg/291000,12682.0,12683.0,0.007885191610156127
image_seg/295087,5131.0,5130.0,-0.019489378288832584
image_seg/296007,3385.6,3381.0,-0.1358695652173886
image_seg/296059,3145.2,3133.0,-0.38789266183389987
image_seg/299086,1496.0,1496.0,0.0
image_seg/300091,1893.0,1893.0,0.0
image_seg/302008,2301.0,2301.0,0.0
image_seg/304034,8588.4,8590.0,0.01862977970285925
image_seg/304074,6622.0,6635.0,0.19631531259438234
image_seg/306005,5067.0,5063.0,-0.07894217485691732
image_seg/3096,335.0,335.0,0.0
image_seg/33039,7832.1,7836.0,0.049795074118047976
image_seg/351093,6613.0,6616.0,0.04536518977771057
image_seg/361010,3354.75,3355.0,0.007452120128176466
image_seg/37073,1876.0,1876.0,0.0
image_seg/376043,9405.0,9396.0,-0.09569377990430622
image_seg/38082,8902.8,8894.0,-0.0988453070943891
image_seg/38092,5985.55,5983.0,-0.04260260126471555
image_seg/385039,4195.0,4193.0,-0.04767580452920143
image_seg/41033,3336.0,3332.0,-0.1199040767386091
image_seg/41069,13157.0,13142.0,-0.11400775252717185
image_seg/42012,4614.5,4613.0,-0.032506230360819156
image_seg/42049,825.0,825.0,0.0
image_seg/43074,4586.0,4584.0,-0.04361098996947231
image_seg/45096,877.0,878.0,0.11402508551881414
image_seg/54082,4629.0,4624.0,-0.10801468999783971
image_seg/55073,9743.0,9727.0,-0.16422046597557222
image_seg/58060,6677.0,6684.55,0.11307473416205154
image_seg/62096,4933.0,4932.0,-0.020271639975674032
image_seg/65033,8424.0,8417.0,-0.08309591642924977
image_seg/66053,7198.0,7204.0,0.08335648791330925
image_seg/69015,5429.0,5432.0,0.055258795358261184
image_seg/69020,8699.0,8694.0,-0.057477871019657435
image_seg/69040,7675.35,7668.0,-0.09576110535676371
image_seg/76053,5555.4,5554.0,-0.025200705619750807
image_seg/78004,3952.0,3948.0,-0.10121457489878542
image_seg/8023,4808.0,4802.0,-0.12479201331114809
image_seg/85048,6225.0,6221.0,-0.0642570281124498
image_seg/86000,3056.0,3059.0,0.0981675392670157
image_seg/86016,15538.0,15538.0,0.0
image_seg/86068,7256.8,7250.0,-0.09370521441958138
image_seg/87046,5947.0,5948.0,0.016815200941651252
image_seg/89072,4557.4,4557.0,-0.008776934216870062
image_seg/97033,4796.0,4790.0,-0.12510425354462051
modularity_clustering/adjnoun,0.0,0.0,
modularity_clustering/dolphins,1.0,1.0,0.0
modularity_clustering/football,1.0,1.0,0.0
modularity_clustering/karate,0.0,0.0,
modularity_clustering/lesmis,1.0,1.0,0.0
modularity_clustering/polbooks,1.0,1.0,0.0
