Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
ABR/bridges,3737.6,3850.85,3.0300192636986303
ABR/cars,1499.0,1498.0,-0.06671114076050699
ABR/cetacea,967.0,967.0,0.0
ABR/companies,81802.0,81802.0,0.0
ABR/hayes-roth,2646.5,2710.75,2.4277347440015116
ABR/lecturers,13585.45,13476.15,-0.8045372070855296
ABR/lung-cancer,3472.0,3470.0,-0.0576036866359447
ABR/lymphography,18953.8,19146.0,1.0140446770568472
ABR/micro,804.8,956.0,18.787276341948317
ABR/primary-tumor,323614.0,323614.0,0.0
ABR/soup,4609.85,4608.5,-0.029285117737027532
ABR/soybean-21,3041.0,3041.0,0.0
ABR/soybean-35,14613.0,14613.0,0.0
ABR/soybean-large,315802.0,315145.0,-0.20804174767734213
ABR/sponge,20401.0,25677.0,25.861477378559876
ABR/ta-evaluation,1083.9,1108.0,2.2234523480025747
ABR/uno_1a,12197.0,12197.0,0.0
ABR/uno_1b,11775.0,11775.0,0.0
ABR/uno_2a,72820.0,72820.0,0.0
ABR/uno_2b,71818.0,71818.0,0.0
ABR/uno_3a,73068.0,73068.0,0.0
ABR/uno_3b,72629.0,72629.0,0.0
ABR/uno,784.55,798.0,1.7143585494869729
ABR/wildcats,1296.0,1304.0,0.6172839506172839
ABR/workers,955.0,964.0,0.9424083769633508
ABR/zoo,15419.2,16765.4,8.730673446093187
Artificial/am-100-10,1100.0,10700.0,872.7272727272726
Artificial/am-100-20,2100.0,11700.0,457.1428571428571
Artificial/am-100-3,400.0,10000.0,2400.0
Artificial/am-125-10,1375.0,16500.0,1100.0
Artificial/am-125-20,2625.0,17750.0,576.1904761904761
Artificial/am-125-3,500.0,15625.0,3025.0
Artificial/am-150-10,1650.0,23550.0,1327.2727272727273
Artificial/am-150-20,3150.0,25050.0,695.2380952380953
Artificial/am-150-3,600.0,22500.0,3650.0
Artificial/am-25-10,275.0,800.0,190.9090909090909
Artificial/am-25-20,525.0,1050.0,100.0
Artificial/am-25-3,100.0,625.0,525.0
Artificial/am-50-10,550.0,2850.0,418.1818181818182
Artificial/am-50-20,1050.0,3350.0,219.04761904761907
Artificial/am-50-3,200.0,2500.0,1150.0
Artificial/am-75-10,825.0,6150.0,645.4545454545454
Artificial/am-75-20,1575.0,6900.0,338.0952380952381
Artificial/am-75-3,300.0,5625.0,1775.0
ClusEdit/ce50-20,43.05,52.25,21.370499419279916
ClusEdit/ce50-30,62.75,73.0,16.334661354581673
ClusEdit/ce50-40,82.25,90.6,10.151975683890571
ClusEdit/ce50-50,133.05,142.1,6.801954152574206
ClusEdit/ce50-60,252.55,254.0,0.5741437339140719
ClusEdit/ce60-20,53.25,65.5,23.004694835680752
ClusEdit/ce60-30,79.0,91.15,15.379746835443045
ClusEdit/ce60-40,113.15,139.1,22.934158197083505
ClusEdit/ce60-50,163.35,179.35,9.794918885827977
ClusEdit/ce60-60,367.75,369.0,0.3399048266485384
ClusEdit/ce70-20,70.2,83.2,18.51851851851852
ClusEdit/ce70-30,95.8,115.3,20.354906054279752
ClusEdit/ce70-40,138.55,157.05,13.352580295922047
ClusEdit/ce70-50,216.2,244.0,12.858464384828869
ClusEdit/ce70-60,490.4,491.0,0.12234910277325098
ClusEdit/ce80-20,82.3,93.95,14.155528554070482
ClusEdit/ce80-30,114.15,143.7,25.886990801576857
ClusEdit/ce80-40,170.7,193.85,13.561804335090807
ClusEdit/ce80-50,266.8,281.7,5.584707646176903
ClusEdit/ce80-60,654.9,657.0,0.32065964269354447
Correlation/corr40-10,2115.15,2266.0,7.131881899628863
Correlation/corr40-1,2119.0,2114.5,-0.21236432279377065
Correlation/corr40-2,1634.25,1692.0,3.533731069297843
Correlation/corr40-3,2247.0,2262.0,0.6675567423230975
Correlation/corr40-4,1985.0,1949.0,-1.81360201511335
Correlation/corr40-5,2127.4,2155.05,1.2997085644448665
Correlation/corr40-6,2416.9,2490.0,3.024535562083657
Correlation/corr40-7,2075.05,2209.0,6.455266138165336
Correlation/corr40-8,2166.0,2165.0,-0.04616805170821791
Correlation/corr40-9,2082.9,2129.0,2.213260358154492
Correlation/corr60-10,3171.6,3392.0,6.949173918526929
Correlation/corr60-1,3590.05,3607.6,0.48885113020709253
Correlation/corr60-2,3106.8,3342.0,7.570490536886823
Correlation/corr60-3,3415.0,3473.0,1.6983894582723278
Correlation/corr60-4,2980.95,3362.0,12.7828376859726
Correlation/corr60-5,3277.0,3276.4,-0.018309429356115625
Correlation/corr60-6,2840.45,3184.0,12.094914538189379
Correlation/corr60-7,2986.25,3287.2,10.077856843867721
Correlation/corr60-8,3008.1,3473.0,15.45493833316712
