Instance,GJ_Mean,Lookahead_Mean,Improvement(%)
CREMI/medium_problem_sampleA,4081585.0,4080435.0,-0.028175328946965457
CREMI/medium_problem_sampleB,2028922.0,2021765.05,-0.3527464338205191
CREMI/medium_problem_sampleC,387361.0,387182.0,-0.04621012440591593
CREMI/small_problem_sampleA,619924.0,619807.0,-0.018873281240926305
CREMI/small_problem_sampleB,470659.0,468593.5,-0.4388527575165884
CREMI/small_problem_sampleC,113243.0,113173.0,-0.061813975256748754
image_seg/101085,6931.8,6933.0,0.017311520817101158
image_seg/101087,3148.0,3142.0,-0.1905972045743329
image_seg/102061,2532.0,2532.0,0.0
image_seg/103070,5013.0,4997.0,-0.3191701575902653
image_seg/105025,6823.7,6815.25,-0.12383311106877234
image_seg/106024,2399.0,2390.6,-0.35014589412255487
image_seg/108005,6284.0,6265.5,-0.29439847231063015
image_seg/108070,9472.15,9430.85,-0.4360150546602331
image_seg/108082,4972.0,4962.0,-0.2011263073209976
image_seg/109053,4508.7,4484.0,-0.5478297513695705
image_seg/119082,3272.45,3266.55,-0.18029305260583467
image_seg/12084,5225.0,5210.0,-0.28708133971291866
image_seg/123074,6140.0,6118.45,-0.35097719869707134
image_seg/126007,2400.0,2390.0,-0.4166666666666667
image_seg/130026,7342.8,7342.2,-0.008171269815334255
image_seg/134035,6219.0,6199.25,-0.3175751728573726
image_seg/14037,2048.0,2038.8,-0.4492187500000022
image_seg/143090,1889.0,1886.65,-0.1244044467972424
image_seg/145086,4830.0,4829.0,-0.020703933747412008
image_seg/147091,3676.0,3672.0,-0.1088139281828074
image_seg/148026,6262.85,6247.0,-0.2530796682021821
image_seg/148089,6508.0,6493.1,-0.22894898586354695
image_seg/156065,7467.05,7454.8,-0.16405407758083848
image_seg/157055,3995.2,3985.5,-0.24279134961953888
image_seg/159008,4508.55,4498.75,-0.21736478468687673
image_seg/160068,3417.0,3417.0,0.0
image_seg/16077,4276.0,4273.5,-0.05846585594013096
image_seg/163085,4034.0,4018.4,-0.38671294000991346
image_seg/167062,1895.0,1898.0,0.15831134564643798
image_seg/167083,9980.0,9956.5,-0.23547094188376755
image_seg/170057,5065.0,5043.45,-0.425468904244821
image_seg/175032,10974.15,10947.7,-0.24102094467452068
image_seg/175043,7406.0,7380.1,-0.3497164461247588
image_seg/182053,4246.0,4231.0,-0.35327366933584553
image_seg/189080,1521.55,1513.0,-0.561926982353518
image_seg/19021,5027.6,5026.0,-0.03182432970006293
image_seg/196073,686.0,687.0,0.1457725947521866
image_seg/197017,4648.1,4648.0,-0.0021514167079099804
image_seg/208001,7246.0,7212.15,-0.4671542920231902
image_seg/210088,1887.2,1878.55,-0.4583509961848289
image_seg/21077,2888.0,2879.8,-0.2839335180055339
image_seg/216081,5045.0,5039.1,-0.11694747274528516
image_seg/219090,2908.0,2902.0,-0.20632737276478677
image_seg/220075,2758.0,2752.0,-0.21754894851341552
image_seg/223061,7263.0,7252.0,-0.15145256780944513
image_seg/227092,2276.0,2264.0,-0.5272407732864675
image_seg/229036,6572.0,6559.9,-0.18411442483262877
image_seg/236037,7922.0,7880.1,-0.5289068417066352
image_seg/24077,3195.0,3186.0,-0.28169014084507044
image_seg/241004,1628.0,1621.25,-0.4146191646191646
image_seg/241048,6012.0,6001.0,-0.18296739853626082
image_seg/253027,5227.0,5232.0,0.09565716472163766
image_seg/253055,1804.0,1804.0,0.0
image_seg/260058,2011.0,2011.0,0.0
image_seg/271035,3768.0,3755.0,-0.3450106157112527
image_seg/285079,6763.0,6747.0,-0.23658139878752033
image_seg/291000,12682.0,12682.0,0.0
image_seg/295087,5131.0,5133.0,0.03897875657766517
image_seg/296007,3385.45,3385.9,0.013292176815497877
image_seg/296059,3146.2,3141.0,-0.16527874896700204
image_seg/299086,1496.0,1496.0,0.0
image_seg/300091,1893.0,1886.8,-0.3275224511357657
image_seg/302008,2301.0,2299.0,-0.0869187309865276
image_seg/304034,8588.5,8560.4,-0.3271816964545656
image_seg/304074,6622.0,6627.05,0.07626094835397436
image_seg/306005,5067.0,5052.65,-0.283205052299198
image_seg/3096,335.0,335.0,0.0
image_seg/33039,7832.4,7810.0,-0.28599152239415293
image_seg/351093,6613.0,6605.7,-0.11038862845909848
image_seg/361010,3354.4,3349.0,-0.16098259003100676
image_seg/37073,1876.0,1877.0,0.053304904051172705
image_seg/376043,9405.0,9401.0,-0.04253056884635832
image_seg/38082,8902.9,8862.95,-0.4487301890395142
image_seg/38092,5985.5,5980.0,-0.09188873110015872
image_seg/385039,4195.0,4192.0,-0.07151370679380215
image_seg/41033,3336.0,3331.45,-0.13639088729017332
image_seg/41069,13157.0,13161.1,0.031162119024096404
image_seg/42012,4614.4,4604.0,-0.22538141470179518
image_seg/42049,825.0,822.0,-0.36363636363636365
image_seg/43074,4586.0,4587.0,0.021805494984736155
image_seg/45096,877.0,875.8,-0.13683010262258216
image_seg/54082,4629.0,4618.0,-0.23763231799524737
image_seg/55073,9743.0,9718.8,-0.24838345478806045
image_seg/58060,6677.0,6659.1,-0.2680844690729315
image_seg/62096,4933.0,4929.0,-0.08108655990269613
